Item,Ref_Wave,Test_Wave,Mushra_Scores,Utterance,Folder,Condition,Codec,Rate_kbps,sampleMOS,conditionMOS,conditionCI,DataBase,sampleSTD,sampleCI,Degradation,sumVotes,CodecCombination,Q_Value_dB,EXP,NoiseType,ErrorType,ErrorRate%
0.0,Speech_Databases/Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,Speech_Databases/Genspeech/LPCNet_listening_test/mfall/dir1/lpcnq.wav,68.02298851,dir1,mfall,Set 1,LPCNet1.6,1.6,3.8231394689999996,3.5935072,0.18786340399999998,Genspeech,,,,,,,,,,
10.0,Speech_Databases/Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,Speech_Databases/Genspeech/LPCNet_listening_test/vec18/dir1/lpcnq.wav,74.375,dir1,vec18,Set 1,LPCNet1.6,1.6,4.122819767,3.5935072,0.18786340399999998,Genspeech,,,,,,,,,,
20.0,Speech_Databases/Genspeech/LPCNet_listening_test/mfall/dir2/ref.wav,Speech_Databases/Genspeech/LPCNet_listening_test/mfall/dir2/lpcnq.wav,78.38823529,dir2,mfall,Set 1,LPCNet1.6,1.6,4.312159404,3.5935072,0.18786340399999998,Genspeech,,,,,,,,,,
30.0,Speech_Databases/Genspeech/LPCNet_listening_test/vec18/dir2/ref.wav,Speech_Databases/Genspeech/LPCNet_listening_test/vec18/dir2/lpcnq.wav,51.73563218,dir2,vec18,Set 1,LPCNet1.6,1.6,3.054721495,3.5935072,0.18786340399999998,Genspeech,,,,,,,,,,
40.0,Speech_Databases/Genspeech/LPCNet_listening_test/mfall/dir3/ref.wav,Speech_Databases/Genspeech/LPCNet_listening_test/mfall/dir3/lpcnq.wav,58.03529412,dir3,mfall,Set 1,LPCNet1.6,1.6,3.3519320039999996,3.5935072,0.18786340399999998,Genspeech,,,,,,,,,,
50.0,Speech_Databases/Genspeech/LPCNet_listening_test/vec18/dir3/ref.wav,Speech_Databases/Genspeech/LPCNet_listening_test/vec18/dir3/lpcnq.wav,69.46590909,dir3,vec18,Set 1,LPCNet1.6,1.6,3.891214735,3.5935072,0.18786340399999998,Genspeech,,,,,,,,,,
60.0,Speech_Databases/Genspeech/LPCNet_listening_test/mfall/dir4/ref.wav,Speech_Databases/Genspeech/LPCNet_listening_test/mfall/dir4/lpcnq.wav,65.63095238,dir4,mfall,Set 1,LPCNet1.6,1.6,3.7102860680000003,3.5935072,0.18786340399999998,Genspeech,,,,,,,,,,
70.0,Speech_Databases/Genspeech/LPCNet_listening_test/vec18/dir4/ref.wav,Speech_Databases/Genspeech/LPCNet_listening_test/vec18/dir4/lpcnq.wav,62.2,dir4,vec18,Set 1,LPCNet1.6,1.6,3.548417842,3.5935072,0.18786340399999998,Genspeech,,,,,,,,,,
80.0,Speech_Databases/Genspeech/LPCNet_listening_test/mfall/dir5/ref.wav,Speech_Databases/Genspeech/LPCNet_listening_test/mfall/dir5/lpcnq.wav,61.38888889,dir5,mfall,Set 1,LPCNet1.6,1.6,3.5101505910000004,3.5935072,0.18786340399999998,Genspeech,,,,,,,,,,
90.0,Speech_Databases/Genspeech/LPCNet_listening_test/vec18/dir5/ref.wav,Speech_Databases/Genspeech/LPCNet_listening_test/vec18/dir5/lpcnq.wav,59.88888889,dir5,vec18,Set 1,LPCNet1.6,1.6,3.4393823869999998,3.5935072,0.18786340399999998,Genspeech,,,,,,,,,,
